"question","ground_truth"
"Ngôi sao neutron có khối lượng trung bình bao nhiêu lần khối lượng Mặt Trời?","1.4 lần khối lượng Mặt Trời"
"Hố đen siêu khối lượng lớn nhất được phát hiện có khối lượng bao nhiêu?","Khoảng 66 tỷ lần khối lượng Mặt Trời"
"Khoảng cách từ Trái Đất đến trung tâm Ngân Hà là bao nhiêu?","Khoảng 26000 năm ánh sáng"
"Sóng hấp dẫn đầu tiên được phát hiện vào năm nào?","2015"
"Hằng số Hubble hiện tại có giá trị xấp xỉ là bao nhiêu?","70 km/s/Mpc"
"Vụ nổ gamma ray burst xa nhất được quan sát có redshift là bao nhiêu?","z ≈ 9.4"
"Hành tinh ngoài hệ Mặt Trời đầu tiên quay quanh ngôi sao dãy chính được phát hiện vào năm nào?","1995 (51 Pegasi b)"
"Kính thiên văn không gian James Webb có gương chính đường kính bao nhiêu?","6.5 mét"
"Nhiệt độ bức xạ nền vũ trụ là bao nhiêu Kelvin?","2.725 K"
"Ngôi sao Proxima Centauri cách Trái Đất bao nhiêu năm ánh sáng?","4.24 năm ánh sáng"
"Năng lượng tối chiếm bao nhiêu phần trăm vũ trụ?","Khoảng 68%"
"Chu kỳ quay của lỗ đen Sagittarius A* là bao nhiêu?","Khoảng 11.2 phút"
"Ngôi sao siêu khổng lồ đỏ lớn nhất hiện biết có bán kính bao nhiêu lần Mặt Trời?","Khoảng 2000 lần (Stephenson 2-18)"
"Tốc độ ánh sáng trong chân không là bao nhiêu km/s?","299792458 km/s"
"Khối lượng của electron neutrino có giới hạn trên là bao nhiêu eV?","Dưới 2 eV"
"Vụ va chạm thiên thạch lớn nhất trên Trái Đất tạo ra miệng núi nào?","Vredefort (Nam Phi)"
"Ngôi sao biến quang Cepheid được sử dụng để đo khoảng cách vũ trụ dựa trên mối quan hệ gì?","Quan hệ chu kỳ-độ sáng"
"Từ trường Mặt Trời đảo chiều mỗi bao nhiêu năm?","11 năm"
"Hành tinh lùn Eris có khoảng cách trung bình từ Mặt Trời là bao nhiêu AU?","67.7 AU"
"Tốc độ thoát khỏi lỗ đen có đường kính Schwarzschild 1km là bao nhiêu?","Bằng tốc độ ánh sáng"
"Siêu tân tinh type Ia có độ sáng cực đại đặc trưng là bao nhiêu?","Khoảng -19.3 magnitude tuyệt đối"
"Ngôi sao Wolf-Rayet có nhiệt độ bề mặt trung bình là bao nhiêu K?","50000-200000 K"
"Tuổi của vũ trụ theo mô hình Lambda-CDM là bao nhiêu?","13.8 tỷ năm"
"Mật độ tới hạn của vũ trụ là bao nhiêu kg/m³?","9.47 × 10^-27 kg/m³"
"Đám mây Oort có bán kính ước tính là bao nhiêu AU?","50000-200000 AU"
"Ngôi sao Betelgeuse có khối lượng ước tính bao nhiêu lần Mặt Trời?","10-20 lần khối lượng Mặt Trời"
"Pulsar nhanh nhất quay với tần số bao nhiêu Hz?","716 Hz (PSR J1748−2446ad)"
"Hành tinh gần ngôi sao Kepler-442b có chu kỳ quỹ đạo là bao nhiêu ngày?","112.3 ngày"
"Nhiệt độ lõi của Mặt Trời là bao nhiêu Kelvin?","15 triệu K"
"Ngôi sao Eta Carinae có khối lượng ước tính bao nhiêu lần Mặt Trời?","100-150 lần khối lượng Mặt Trời"
"Khoảng cách đến thiên hà Andromeda là bao nhiêu năm ánh sáng?","2.537 triệu năm ánh sáng"
"Quasar xa nhất được phát hiện có redshift là bao nhiêu?","z ≈ 7.64"
"Đường kính góc của Mặt Trời nhìn từ Trái Đất là bao nhiêu arcminute?","32 arcminute"
"Hằng số cấu trúc tinh tế có giá trị xấp xỉ là bao nhiêu?","1/137"
"Ngôi sao compact nhất (không phải lỗ đen) có bán kính khoảng bao nhiêu km?","10-15 km (neutron star)"
"Tốc độ di chuyển của hệ Mặt Trời quanh trung tâm Ngân Hà là bao nhiêu km/s?","220 km/s"
"Hành tinh HD 209458 b có nhiệt độ bề mặt ước tính là bao nhiêu K?","1500 K"
"Từ trường mạnh nhất trong vũ trụ được tìm thấy ở ngôi sao magnetar có cường độ bao nhiêu Tesla?","10^11 Tesla"
"Năng lượng liên kết của hạt nhân helium-4 là bao nhiêu MeV?","28.3 MeV"
"Ngôi sao nâu có khối lượng tối thiểu là bao nhiêu lần khối lượng Jupiter?","13 lần khối lượng Jupiter"
"Chu kỳ quỹ đạo của sao chổi Halley là bao nhiêu năm?","75-76 năm"
"Ngôi sao Rigel có độ sáng tuyệt đối magnitude là bao nhiêu?","-7.84"
"Khoảng cách từ Trái Đất đến Sao Kim ở vị trí gần nhất là bao nhiêu triệu km?","25 triệu km"
"Mật độ trung bình của vật chất tối trong thiên hà là bao nhiêu GeV/cm³?","0.3 GeV/cm³"
"Ngôi sao đôi PSR B1913+16 có chu kỳ giảm quỹ đạo do bức xạ sóng hấp dẫn là bao nhiêu giây/năm?","76.5 microsecond/năm"
"Hành tinh TOI-849b có bán kính bao nhiêu lần Trái Đất?","3.4 lần bán kính Trái Đất"
"Nhiệt độ hiệu dụng của Mặt Trời là bao nhiêu K?","5778 K"
"Ngôi sao UY Scuti có bán kính ước tính bao nhiêu lần Mặt Trời?","1700 lần"
"Tỷ lệ khối lượng proton/electron là bao nhiêu?","1836.15"
"Hành tinh Kepler-16b quay quanh bao nhiêu ngôi sao?","2 ngôi sao (hệ đôi)"
"Từ trường của Sao Mộc có cường độ gấp bao nhiêu lần từ trường Trái Đất?","20000 lần"
"Ngôi sao Pistol có độ sáng gấp bao nhiêu lần Mặt Trời?","1.6 triệu lần"
"Khoảng cách đến cụm sao Pleiades là bao nhiêu năm ánh sáng?","444 năm ánh sáng"
"Hố đen stellar khối lượng lớn nhất được phát hiện có khối lượng bao nhiêu lần Mặt Trời?","70 lần (Cygnus X-1)"
"Nhiệt độ của không gian liên sao trung bình là bao nhiêu K?","2.7 K"
"Ngôi sao Barnard's Star có tốc độ riêng là bao nhiêu arcsec/năm?","10.3 arcsec/năm"
"Hành tinh K2-18b có khối lượng bao nhiêu lần Trái Đất?","8.6 lần khối lượng Trái Đất"
"Đường kính của Mặt Trời so với Trái Đất là bao nhiêu lần?","109 lần"
"Ngôi sao biến đổi Delta Cephei có chu kỳ thay đổi độ sáng là bao nhiêu ngày?","5.37 ngày"
"Tốc độ lan truyền của sóng hấp dẫn trong chân không là bao nhiêu?","Bằng tốc độ ánh sáng"
"Hành tinh WASP-17b có mật độ thấp bao nhiêu g/cm³?","0.1 g/cm³"
"Nhiệt độ tối thiểu để xảy ra phản ứng fusion hydrogen là bao nhiêu triệu K?","10 triệu K"
"Ngôi sao R136a1 có khối lượng ước tính bao nhiêu lần Mặt Trời?","315 lần"
"Khoảng cách đến trung tâm Local Group là bao nhiêu triệu năm ánh sáng?","3.2 triệu năm ánh sáng"
"Hố đen quay nhanh nhất có tốc độ quay gần bao nhiêu phần trăm tốc độ ánh sáng?","84%"
"Nhiệt độ của corona Mặt Trời là bao nhiêu triệu K?","1-3 triệu K"
"Ngôi sao Vega có độ sáng apparent magnitude là bao nhiêu?","0.03"
"Hành tinh 55 Cancri e có chu kỳ quỹ đạo là bao nhiêu giờ?","18 giờ"
"Bức xạ Hawking từ lỗ đen khối lượng Mặt Trời có nhiệt độ bao nhiêu nanokelvin?","60 nanokelvin"
"Ngôi sao T Tauri có tuổi trung bình là bao nhiêu triệu năm?","1-10 triệu năm"
"Khoảng cách đến quasar 3C 273 là bao nhiêu tỷ năm ánh sáng?","2.4 tỷ năm ánh sáng"
"Hành tinh HR 5183 b có chu kỳ quỹ đạo là bao nhiêu năm?","45-100 năm"
"Tỷ lệ helium/hydrogen trong vũ trụ theo khối lượng là bao nhiêu?","25% helium, 75% hydrogen"
"Ngôi sao WR 102 có nhiệt độ bề mặt cao nhất là bao nhiêu K?","210000 K"
"Khoảng cách từ Trái Đất đến Alpha Centauri A là bao nhiêu parsec?","1.34 parsec"
"Hành tinh GJ 1214 b có bán kính bao nhiêu lần Trái Đất?","2.68 lần"
"Tốc độ thoát từ bề mặt ngôi sao neutron điển hình là bao nhiêu phần trăm tốc độ ánh sáng?","10-15%"
"Ngôi sao Canopus có khoảng cách từ Trái Đất là bao nhiêu năm ánh sáng?","310 năm ánh sáng"
"Nhiệt độ của Sao Mộc ở lõi là bao nhiêu K?","20000 K"
"Hành tinh Proxima b có chu kỳ quỹ đạo là bao nhiêu ngày?","11.2 ngày"
"Đường kính góc của thiên hà Andromeda nhìn từ Trái Đất là bao nhiêu độ?","3 độ"
"Ngôi sao VY Canis Majoris có chu kỳ thay đổi độ sáng là bao nhiêu năm?","2000 năm"
"Tốc độ lan truyển vật chất trong đĩa bồi tụ của lỗ đen là bao nhiêu phần trăm tốc độ ánh sáng?","1-10%"
"Hành tinh Kepler-1649c có kích thước so với Trái Đất là bao nhiêu?","1.06 lần bán kính Trái Đất"
"Nhiệt độ hiệu dụng của ngôi sao lùn trắng Sirius B là bao nhiêu K?","25200 K"
"Ngôi sao S2 quay quanh Sagittarius A* có tốc độ tối đa là bao nhiêu km/s?","7650 km/s"
"Khoảng cách đến cụm thiên hà Virgo là bao nhiêu triệu năm ánh sáng?","54 triệu năm ánh sáng"
"Hành tinh KELT-9b có nhiệt độ bề mặt cao nhất là bao nhiêu K?","4600 K"
"Từ trường của magnetar mạnh nhất có thể đạt bao nhiêu gauss?","10^15 gauss"
"Ngôi sao Arcturus có tốc độ riêng là bao nhiêu km/s?","122 km/s"
"Khoảng cách đến Large Magellanic Cloud là bao nhiêu kiloparsec?","50 kiloparsec"
"Hành tinh HAT-P-1b có mật độ thấp kỷ lục là bao nhiêu g/cm³?","0.12 g/cm³"
"Nhiệt độ của vùng photosphere Mặt Trời là bao nhiêu K?","5780 K"
"Ngôi sao Polaris có khoảng cách từ Trái Đất là bao nhiêu năm ánh sáng?","433 năm ánh sáng"
"Hành tinh WASP-121b có tốc độ gió ước tính là bao nhiêu km/h?","5000 km/h"
"Đường kính của Sagittarius A* tính theo đường kính Schwarzschild là bao nhiêu triệu km?","24 triệu km"
"Ngôi sao Mu Cephei có bán kính ước tính bao nhiêu AU?","4.7 AU"
"Khoảng cách đến thiên hà M87 là bao nhiêu triệu năm ánh sáng?","53.5 triệu năm ánh sáng"
"Hành tinh TRES-2b có độ phản xạ albedo thấp nhất là bao nhiêu?","Dưới 1%"
"Tốc độ quay của pulsar millisecond nhanh nhất là bao nhiêu vòng/giây?","716 vòng/giây"
"Ngôi sao Aldebaran có đường kính góc nhìn từ Trái Đất là bao nhiêu milliarcsecond?","20.58 milliarcsecond"
"Nhiệt độ của hành tinh Sao Kim ở bề mặt là bao nhiêu độ C?","462 độ C"
"Hành tinh CoRoT-7b có mật độ ước tính bao nhiêu g/cm³?","5.6 g/cm³"
"Khoảng cách đến cụm cầu M13 là bao nhiêu kiloăm sáng?","25.1 kiloăm sáng"
"Ngôi sao Deneb có độ sáng tuyệt đối magnitude là bao nhiêu?","-8.38"
"Hành tinh GJ 367b có chu kỳ quỹ đạo ngắn kỷ lục là bao nhiêu giờ?","7.7 giờ"
"Tốc độ lan truyền của từ trường trong plasma thiên thể là bao nhiêu km/s?","Tốc độ Alfvén (100-1000 km/s)"
"Ngôi sao Antares có khối lượng ước tính bao nhiêu lần Mặt Trời?","12 lần"
"Khoảng cách đến pulsar Crab là bao nhiêu năm ánh sáng?","6500 năm ánh sáng"
"Hành tinh TOI-2109b có nhiệt độ ban ngày cao nhất là bao nhiêu K?","3000 K"
"Nhiệt độ của chromosphere Mặt Trời là bao nhiêu K?","4300-25000 K"
"Ngôi sao Spica có tốc độ quay xích đạo là bao nhiêu km/s?","199 km/s"
"Hành tinh LTT 9779b có chu kỳ quỹ đạo là bao nhiêu giờ?","19 giờ"
"Đường kính của cụm sao Hyades là bao nhiêu năm ánh sáng?","18 năm ánh sáng"
"Ngôi sao Mira có chu kỳ thay đổi độ sáng là bao nhiêu ngày?","332 ngày"
